registration_number,numeric_id,product_name,manufacturer,material_category,product_category,declared_unit,gwp_a1a3,gwp_unit,gwp_a1a3_indicator,gwp_fossil_a1a3,gwp_biogenic_a1a3,gwp_total_a1a3,life_cycle_stages,lcia_indicator_count,status,is_valid,year_published,publication_date,version_date,valid_until,pcr,geographical_scope,country_of_origin,lca_practitioner,epd_pdf_url,document_count,epd_url,data_hub_dataset
EPD-IES-0032027:001,32027,Windor 48.5mm Thick Laminate Finished Flush Door with Hardware Product,Windor India Pvt Limited,Other,Construction products,1 m2,112.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),111.0,-32.0,79.2,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-29,2026-05-19,2031-05-18,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sujata Patil,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/58e71815-277c-4831-a3b8-08deb59db0cb/Documents,1,https://www.environdec.com/library/epd32027,True
EPD-IES-0031930:002,31930,Raised Access Floor Panels,PWS Floors LLP,Other,Construction products,1 m2,49.7799409890804,kg CO2 eq.,Global Warming Potential (GWP-GHG),49.5863105987196,-9.42157203126251,40.3417892024724,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-25,2026-05-18,2031-05-17,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Dhvani Purohit,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/4b2f7718-9a7b-4d01-8726-08deb2534cee/Documents,1,https://www.environdec.com/library/epd31930,True
EPD-IES-0029294:001,29294,Portland Slag Cement/ Concreel HD,JSW Cement Limited,Concrete & Cement,Construction products,1000 kg,358.8,kg CO2 eq.,Global Warming Potential (GWP-GHG),358.7,0.0209,358.8,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-25,2026-05-18,2031-05-17,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Aishwarya Rai,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/d224d10c-f8ef-45ec-c08e-08de7ff7938e/Documents,1,https://www.environdec.com/library/epd29294,True
EPD-IES-0031818:001,31818,GYPROC® Gypboard® Effectiv’ 12.5 mm,Saint-Gobain India Private Limited,Concrete & Cement,Construction products,1 m2 of installed plasterboard of 12.5 mm thickness with a weight of 7 kg/m2 with a useful life of 50 years,0.703,kg CO2 eq.,Global Warming Potential (GWP-GHG),0.6436,-0.735886,-0.0815,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-05-15,2031-05-14,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Nandhini Sureshkumar,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/4991faf9-1de8-4444-49e8-08deafe2ed41/Documents,1,https://www.environdec.com/library/epd31818,True
EPD-IES-0031183:001,31183,Steel Rope Products,USHA MARTIN LIMITED,Steel & Metal,Construction products,1000 kg,4150.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),4150.0,1.62,4150.0,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-14,2026-05-07,2031-05-06,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Punam Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/b83c6653-335b-453c-98bb-08de96eb41b8/Documents,1,https://www.environdec.com/library/epd31183,True
EPD-IES-0031184:001,31184,LRPC Strand Products,USHA MARTIN LIMITED,Steel & Metal,Construction products,1000 kg,3250.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),3250.0,-77.3,3170.0,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-14,2026-05-07,2031-05-06,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Harender.Kumar@spherasolutions.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/546d9753-1961-493d-98bc-08de96eb41b8/Documents,1,https://www.environdec.com/library/epd31184,True
EPD-IES-0031182:001,31182,Steel Wire Products,USHA MARTIN LIMITED,Steel & Metal,Construction products,1000 kg,3460.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),3460.0,1.7,3460.0,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-14,2026-05-07,2031-05-06,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Punam Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/3dc559f2-ea0b-4b3d-b6d0-08de96eb8763/Documents,1,https://www.environdec.com/library/epd31182,True
EPD-IES-0025022:003,25022,JK Tyre- 295/80R22.5_JUL1_16PR_TL_E ,JK Tyre & Industries Ltd.    ,Steel & Metal,"Metal, mineral, plastic & glass products","1 Tyre driven 1,000km, 0.01 per tyre",1.4923,kg CO2 eq.,GWP-total,,,1.4923,"A1, A2, A3, A4, B1, C2, C3b",,Registered,True,2026,2026-05-29,2026-04-28,2030-08-04,UL-10006 Tires (adopted from UL Environment) 4.0.0,Global,India,Pborekar@spherasolutions.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/b561c0d9-e68d-4efe-aaa8-08ddc279220d/Documents,1,https://www.environdec.com/library/epd25022,False
EPD-IES-0025021:003,25021,JK Tyre- 215/55R18 UX Royale ,JK Tyre & Industries Ltd.    ,Steel & Metal,"Metal, mineral, plastic & glass products","1 Tyre driven 1,000km, 0.016 per tyre",0.6779,kg CO2 eq.,GWP-total,,,0.6779,"A1, A2, A3, A4, B1, C2, C3b",,Registered,True,2026,2026-05-29,2026-04-28,2030-08-04,UL-10006 Tires (adopted from UL Environment) 4.0.0,Global,India,Pborekar@spherasolutions.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/0327df02-f8c3-4bb2-cc48-08ddc294eaef/Documents,1,https://www.environdec.com/library/epd25021,False
EPD-IES-0025023:003,25023,JK Tyre- 235/75R17.5 JUH5 ALL STEEL 14PR ,JK Tyre & Industries Ltd.    ,Steel & Metal,"Metal, mineral, plastic & glass products","1 Tyre driven 1,000km",0.9729,kg CO2 eq.,GWP-total,,,0.9729,"A1, A2, A3, A4, B1, C2, C3b",,Registered,True,2026,2026-05-29,2026-04-28,2030-08-04,UL-10006 Tires (adopted from UL Environment) 4.0.0,Global,India,Pborekar@spherasolutions.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/ec15b194-955f-418b-f8e1-08ddc29e691c/Documents,1,https://www.environdec.com/library/epd25023,False
EPD-IES-0031496:002,31496,Healthcare Beds,Godrej & Boyce Manufacturing Company Limited,Other,Construction products,1 pcs.,1130.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),1110.0,-46.4,1070.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-04-25,2031-04-24,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,gautam@inatstudio.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/e46cbe12-dbfd-46de-8299-08dea1cd0294/Documents,1,https://www.environdec.com/library/epd31496,True
EPD-IES-0031358:002,31358,Seating (Chairs),Godrej & Boyce Manufacturing Company Limited,Furniture & Fittings,Construction products,1 pcs.,129.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),128.0,-4.09,124.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-04-21,2031-04-20,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,gautam@inatstudio.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/46bdd0dd-4163-48ec-df77-08de9d1abb9b/Documents,1,https://www.environdec.com/library/epd31358,True
EPD-IES-0031377:001,31377,Flexivate- Height Adjustable Tables,Talin Modular Office Furniture Systems Pvt. Ltd.,Furniture & Fittings,Construction products,One height-adjustable table used to enable sit-stand working for users over a reference service life of 20 years.,854.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),851.0,-369.0,482.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-04-30,2026-04-21,2031-04-20,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,info@greenexenvironmental.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/02bc1d42-03de-4527-eeb0-08de9e7a2ae3/Documents,1,https://www.environdec.com/library/epd31377,True
EPD-IES-0027273:002,27273,L’LIOS 580-600 Wp N-Type Topcon 16BB Bifacial (Glass to Glass) Solar Photovoltaic Module ,RAYZON SOLAR LIMITED,Concrete & Cement,Construction products,"1 Wp of manufactured photovoltaic module, from cradle-to-grave, with activities needed for a study period for a defined reference service life (≥80% of the labelled power output). Since no third-party report  is available, a standard reference service life of 25 years for ≥80% of the labelled power output is applied. ",0.466,kg CO2 eq.,Global Warming Potential (GWP-GHG),0.484,-0.00129,0.483,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-12,2026-04-20,2031-04-19,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,"India, Global",India,Yash Bhavsar,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/2cf032a2-2388-4d3d-d01b-08de316eda7d/Documents,2,https://www.environdec.com/library/epd27273,True
EPD-IES-0031490:002,31490,Storage,Godrej & Boyce Manufacturing Company Limited,Furniture & Fittings,Construction products,1 pcs.,300.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),292.0,7.19,300.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-04-17,2031-04-16,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,gautam@inatstudio.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/9380afb0-1062-45ff-65cc-08dea13e72b3/Documents,1,https://www.environdec.com/library/epd31490,True
EPD-IES-0025339:002,25339,OPOS,Godrej & Boyce Manufacturing Company Limited,Other,Construction products,1 pcs.,1480.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),1460.0,-74.8,1390.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-04-17,2031-04-16,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,gautam@inatstudio.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/7c35eefd-a9da-4bdb-1414-08de9a917ec7/Documents,1,https://www.environdec.com/library/epd25339,True
EPD-IES-0031281:002,31281,Desking,Godrej & Boyce Manufacturing Company Limited,Furniture & Fittings,Construction products,1 pcs.,86.3,kg CO2 eq.,Global Warming Potential (GWP-GHG),85.0,-98.4,-13.3,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-20,2026-04-17,2031-04-16,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,gautam@inatstudio.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/439b9f3b-909d-4b5b-2871-08de9abab884/Documents,1,https://www.environdec.com/library/epd31281,True
EPD-IES-0031177:001,31177,Steel Wire ,USHA MARTIN LIMITED,Steel & Metal,Construction products,1000 kg,2600.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2600.0,-19.3,2590.0,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-04-30,2026-04-16,2031-04-15,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sneha Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/5b03e559-50d5-4ef7-514c-08de96e4f427/Documents,1,https://www.environdec.com/library/epd31177,True
EPD-IES-0031180:001,31180,Steel Rope,USHA MARTIN LIMITED,Steel & Metal,Construction products,1000 kg,3020.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2990.0,-91.4,2930.0,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-04-30,2026-04-16,2031-04-15,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Punam Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/a0ab4eae-158a-4d3a-98ba-08de96eb41b8/Documents,1,https://www.environdec.com/library/epd31180,True
EPD-IES-0012013:005,12013,Ductile Iron Pipe,Jindal SAW Limited,Steel & Metal,Construction products,1000 kg,2480.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2480.0,-20.0,2460.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-09,2026-04-15,2029-02-13,2019:14 Construction products (EN 15804+A2) (version 1.3.4) 1.3.4,India,India,suraj.shekhar@theesgadvisory.in,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/881a4b98-82f6-4289-c371-08dbfcbd856b/Documents,1,https://www.environdec.com/library/epd12013,True
EPD-IES-0031101:001,31101,Acsilo Cellulose Fiber Acoustic Spray,Tranquil,Insulation & Acoustic,Construction products,1 kg,1.74,kg CO2 eq.,Global Warming Potential (GWP-GHG),1.71,-1.36,0.352,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-06,2026-04-09,2031-04-08,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pranav Negi,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/016041ff-43a1-4589-cc42-08de945dd12d/Documents,1,https://www.environdec.com/library/epd31101,True
EPD-IES-0031137:001,31137,Mass Loaded Vinyl (MLV),Tranquil,Insulation & Acoustic,Construction products,"1 m2 of Mass Loaded Vinyl having a STC (sound transmission class) rating of 36 serves for reducing sound transmission through walls, floor and ceiling by providing noise isolation from unwanted sources.",8.529549364,kg CO2 eq.,Global Warming Potential (GWP-GHG),8.46,-0.182,8.35,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-06,2026-04-09,2031-04-08,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pranav Negi,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/4b23a464-3acb-4106-5646-08de95fa9012/Documents,2,https://www.environdec.com/library/epd31137,True
EPD-IES-0031140:004,31140,ELARA Fibreglass Panel,Tranquil,Glass & Glazing,Construction products,1 m2 of Tranquil ELARA Fibreglass Panel with a sound absorption class A serves as noise reduction panels to absorb and reduce noise levels within the given area.,6.98,kg CO2 eq.,Global Warming Potential (GWP-GHG),6.96,-0.141,6.84,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-12,2026-04-09,2031-04-08,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pranav Negi,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/b2c8e971-5e8c-4f14-372c-08de9609200f/Documents,1,https://www.environdec.com/library/epd31140,True
EPD-IES-0031141:001,31141,ECOCORE PET Panel,Tranquil,Insulation & Acoustic,Construction products,1 m2 of Tranquil ECOCORE PET Panel with a sound absorption class D serves as both acoustic and thermal insulation panels.,7.57,kg CO2 eq.,Global Warming Potential (GWP-GHG),7.56,-0.334,7.23,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-06,2026-04-09,2031-04-08,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pranav Negi,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/f934e277-ced0-4774-c26c-08de960cb358/Documents,1,https://www.environdec.com/library/epd31141,True
EPD-IES-0031145:001,31145,Wooden Acoustic Panels - Woodline & Ecowood,Tranquil,Timber & Wood,Construction products,"1 m² of Tranquil Wooden Acoustic Panels, with a sound absorption Class B rating, designed to enhance interior acoustics by reducing echo and reverberation within a space, creating a quieter and more comfortable environment.",6.39,kg CO2 eq.,Global Warming Potential (GWP-GHG),6.31,-17.9,-11.5,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-06,2026-04-09,2031-04-08,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pranav Negi,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/6ded5072-0d57-4778-de77-08de9612c877/Documents,1,https://www.environdec.com/library/epd31145,True
EPD-IES-0031097:002,31097,Magnelis (Metallic Coated Sheet),ArcelorMittal Nippon Steel India Private Limited,Steel & Metal,Construction products,1000 kg,2400.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2390.0,67.6,2460.0,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-04-17,2026-04-08,2031-04-07,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Srijan Sharma,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/b7f77313-0138-4b22-f885-08de93a1c6c7/Documents,1,https://www.environdec.com/library/epd31097,True
EPD-IES-0029223:002,29223,Optigal (Metallic colour coated steel),ArcelorMittal Nippon Steel India Private Limited,Steel & Metal,Construction products,1000 kg,2070.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2060.0,42.6,2110.0,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-04-17,2026-04-08,2031-04-07,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Srijan Sharma,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/8210871e-4738-4a50-f886-08de93a1c6c7/Documents,1,https://www.environdec.com/library/epd29223,True
EPD-IES-0031048:001,31048,Ordinary Portland Cement ,Ambuja Cements Limited,Concrete & Cement,Construction products,1000 kg,1010.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),997.382754000954,8.76395800837717,1006.24665959569,A1-A3,20,Registered,True,2026,2026-04-07,2026-04-02,2031-04-01,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Punam Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/5d8124f7-9072-410e-31f8-08de8ff0a2f2/Documents,1,https://www.environdec.com/library/epd31048,True
EPD-IES-0031051:001,31051,Ordinary Portland Cement ,ACC Limited,Concrete & Cement,Construction products,1000 kg,983.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),980.288448124327,2.98429042916708,983.391272979095,A1-A3,20,Registered,True,2026,2026-04-07,2026-04-02,2031-04-01,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Punam Singh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/cff23ca2-c235-4058-1a8f-08de8ff6faee/Documents,1,https://www.environdec.com/library/epd31051,True
EPD-IES-0030221:002,30221,WOOD WOOL BOARD - NISHABD STRAND,MECHTRIX ENGINEERS LLP,Steel & Metal,Construction products,1 m2 of Acoustical Panels of sound absorption Class A,21.5,kg CO2 eq.,Global Warming Potential (GWP-GHG),20.9,-8.84,12.2,"A1-A3, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-06-03,2026-03-27,2031-03-26,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,"India, Global",India,Saravanan Jeyabarathy,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/3fd1ea1d-5026-486d-97e1-08de8960c5f4/Documents,2,https://www.environdec.com/library/epd30221,True
EPD-IES-0029315:002,29315,6HI Cold Rolling Mill 1250MM@1100MPM,Yogiji Digi Limited,Machinery & Equipment,Machinery & equipment,,,,,,,,,,Registered,True,2026,2026-04-03,2026-03-20,2031-03-19,PCR 2022:09 Presses for working metal (1.0),Global,India,Vikas Upadhyay,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/edf10248-3f24-4b66-60d0-08de80f1e901/Documents,2,https://www.environdec.com/library/epd29315,False
